Gene,Function,GOID,Cat
AT3G63310,defense response to fungus,GO:0050832,proc
AT2G31260,defense response to fungus,GO:0050832,proc
AT5G45900,defense response to fungus,GO:0050832,proc
AT1G60989,defense response to fungus,GO:0050832,proc
AT3G60190,defense response to fungus,GO:0050832,proc
AT2G36490,defense response to fungus,GO:0050832,proc
AT5G14620,defense response to fungus,GO:0050832,proc
AT2G25000,defense response to fungus,GO:0050832,proc
AT5G61420,defense response to fungus,GO:0050832,proc
AT1G12200,defense response to fungus,GO:0050832,proc
AT3G59660,defense response to fungus,GO:0050832,proc
AT1G75380,defense response to fungus,GO:0050832,proc
AT2G26330,defense response to fungus,GO:0050832,proc
AT5G58430,defense response to fungus,GO:0050832,proc
AT1G02920,"defense response to fungus, incompatible interaction",GO:0009817,proc
AT3G15356,"defense response to fungus, incompatible interaction",GO:0009817,proc
AT4G16260,"defense response to fungus, incompatible interaction",GO:0009817,proc
AT3G04720,"defense response to fungus, incompatible interaction",GO:0009817,proc
AT5G38900,"defense response to fungus, incompatible interaction",GO:0009817,proc
AT1G20020,"defense response to fungus, incompatible interaction",GO:0009817,proc
AT4G16950,"defense response to fungus, incompatible interaction",GO:0009817,proc
AT3G01310,"defense response to fungus, incompatible interaction",GO:0009817,proc
AT4G28490,defense response to Gram-negative bacterium,GO:0050829,proc
AT5G57060,defense response to Gram-negative bacterium,GO:0050829,proc
AT2G23810,defense response to Gram-negative bacterium,GO:0050829,proc
AT2G43710,defense response to insect,GO:0002213,proc
AT3G62590,defense response to insect,GO:0002213,proc
AT2G29350,defense response to insect,GO:0002213,proc
AT4G23100,defense response to insect,GO:0002213,proc
AT4G16760,defense response to insect,GO:0002213,proc
AT4G16260,defense response to nematode,GO:0002215,proc
AT4G33430,defense response to oomycetes,GO:0002229,proc
AT1G15520,defense response to oomycetes,GO:0002229,proc
AT2G27040,defense response to virus,GO:0051607,proc
AT3G49500,defense response to virus,GO:0051607,proc
AT2G43710,defense response to virus,GO:0051607,proc
AT3G62800,defense response to virus,GO:0051607,proc
AT2G21120,defense response to virus,GO:0051607,proc
AT5G23570,defense response to virus,GO:0051607,proc
AT5G43810,defense response to virus,GO:0051607,proc
AT5G16000,defense response to virus,GO:0051607,proc
AT5G10520,"defense response, incompatible interaction",GO:0009814,proc
AT3G05200,"defense response, incompatible interaction",GO:0009814,proc
AT4G29810,"defense response, incompatible interaction",GO:0009814,proc
AT3G49530,"defense response, incompatible interaction",GO:0009814,proc
AT3G52940,delta14-sterol reductase activity,GO:0050613,func
AT3G19820,delta24-sterol reductase activity,GO:0050614,func
AT4G02940,demethylase activity,GO:0032451,func
AT1G54780,dephosphorylation,GO:0016311,proc
AT5G47760,dephosphorylation,GO:0016311,proc
AT5G63980,dephosphorylation,GO:0016311,proc
AT2G32960,dephosphorylation,GO:0016311,proc
AT5G63990,dephosphorylation,GO:0016311,proc
AT2G01890,dephosphorylation,GO:0016311,proc
AT4G21670,dephosphorylation of RNA polymerase II C-terminal domain,GO:0070940,proc
AT2G29630,detection of bacterium,GO:0016045,proc
AT4G39400,detection of brassinosteroid stimulus,GO:0009729,proc
AT1G62380,detection of ethylene stimulus,GO:0009727,proc
AT5G51820,detection of gravity,GO:0009590,proc
AT4G08920,detection of light stimulus,GO:0009583,proc
AT3G05360,detection of molecule of fungal origin,GO:0032491,proc
AT5G63980,detection of oxidative stress,GO:0070994,proc
AT5G60410,detection of phosphate ion,GO:0010247,proc
AT1G52150,determination of bilateral symmetry,GO:0009855,proc
AT1G52150,determination of dorsal identity,GO:0048263,proc
AT1G63440,detoxification of copper ion,GO:0010273,proc
AT5G22300,detoxification of nitrogen compound,GO:0051410,proc
AT5G60410,developmental growth,GO:0048589,proc
AT2G36000,developmental process,GO:0032502,proc
AT4G14605,developmental process,GO:0032502,proc
AT1G26910,developmental process,GO:0032502,proc
AT1G66580,developmental process,GO:0032502,proc
AT4G38160,developmental process,GO:0032502,proc
AT5G55580,developmental process,GO:0032502,proc
AT4G09620,developmental process,GO:0032502,proc
AT2G21710,developmental process,GO:0032502,proc
AT2G30280,developmental process,GO:0032502,proc
AT4G02990,developmental process,GO:0032502,proc
AT3G05500,developmental vegetative growth,GO:0080186,proc
AT3G02360,D-gluconate metabolic process,GO:0019521,proc
AT3G04080,dGTP phosphohydrolase activity,GO:0102491,func
AT2G20900,diacylglycerol kinase activity,GO:0004143,func
AT4G30340,diacylglycerol kinase activity,GO:0004143,func
AT2G20900,diacylglycerol metabolic process,GO:0046339,proc
AT4G30340,diacylglycerol metabolic process,GO:0046339,proc
AT3G26840,diacylglycerol O-acyltransferase activity,GO:0004144,func
AT3G49210,diacylglycerol O-acyltransferase activity,GO:0004144,func
AT2G19450,diacylglycerol O-acyltransferase activity,GO:0004144,func
AT1G48300,diacylglycerol O-acyltransferase activity,GO:0004144,func
AT3G53580,diaminopimelate epimerase activity,GO:0008837,func
AT3G11670,digalactosyldiacylglycerol synthase activity,GO:0046481,func
AT4G00550,digalactosyldiacylglycerol synthase activity,GO:0046481,func
AT3G26830,dihydrocamalexic acid decarboxylase activity,GO:0010298,func
AT3G17240,dihydrolipoyl dehydrogenase activity,GO:0004148,func
AT3G13930,dihydrolipoyllysine-residue acetyltransferase activity,GO:0004742,func
AT5G55070,dihydrolipoyllysine-residue succinyltransferase activity,GO:0004149,func
AT4G30000,dihydropteroate synthase activity,GO:0004156,func
AT2G34630,dimethylallyltranstransferase activity,GO:0004161,func
AT4G02940,dioxygenase activity,GO:0051213,func
AT1G05010,dioxygenase activity,GO:0051213,func
AT5G05600,dioxygenase activity,GO:0051213,func
AT1G17020,dioxygenase activity,GO:0051213,func
AT1G06620,dioxygenase activity,GO:0051213,func
AT1G62380,dioxygenase activity,GO:0051213,func
AT1G04350,dioxygenase activity,GO:0051213,func
AT3G19000,dioxygenase activity,GO:0051213,func
AT1G08620,dioxygenase activity,GO:0051213,func
AT2G24200,dipeptidase activity,GO:0016805,func
AT2G02040,dipeptide transport,GO:0042938,proc
AT4G36190,dipeptidyl-peptidase activity,GO:0008239,func
AT2G24280,dipeptidyl-peptidase activity,GO:0008239,func
AT4G04040,diphosphate-fructose-6-phosphate 1-phosphotransferase activity,GO:0047334,func
AT1G20950,diphosphate-fructose-6-phosphate 1-phosphotransferase activity,GO:0047334,func
AT4G05020,disulfide oxidoreductase activity,GO:0015036,func
AT5G14620,DNA (cytosine-5-)-methyltransferase activity,GO:0003886,func
AT1G15215,DNA binding,GO:0003677,func
AT1G19000,DNA binding,GO:0003677,func
AT2G17150,DNA binding,GO:0003677,func
AT2G28550,DNA binding,GO:0003677,func
AT2G36990,DNA binding,GO:0003677,func
AT3G18490,DNA binding,GO:0003677,func
AT3G56940,DNA binding,GO:0003677,func
AT4G04890,DNA binding,GO:0003677,func
AT5G04110,DNA binding,GO:0003677,func
AT5G06510,DNA binding,GO:0003677,func
AT1G45249,DNA binding,GO:0003677,func
AT2G20100,DNA binding,GO:0003677,func
AT2G44940,DNA binding,GO:0003677,func
AT2G47850,DNA binding,GO:0003677,func
AT3G19290,DNA binding,GO:0003677,func
AT3G28730,DNA binding,GO:0003677,func
AT4G34000,DNA binding,GO:0003677,func
AT5G59800,DNA binding,GO:0003677,func
AT5G62940,DNA binding,GO:0003677,func
AT3G19580,DNA binding,GO:0003677,func
AT1G07630,DNA binding,GO:0003677,func
AT3G50260,DNA binding,GO:0003677,func
AT1G52890,DNA binding,GO:0003677,func
AT4G34590,DNA binding,GO:0003677,func
AT5G49520,DNA binding,GO:0003677,func
AT2G43000,DNA binding,GO:0003677,func
AT5G13330,DNA binding,GO:0003677,func
AT3G14020,DNA binding,GO:0003677,func
AT5G13820,DNA binding,GO:0003677,func
AT3G15500,DNA binding,GO:0003677,func
AT5G66100,DNA binding,GO:0003677,func
AT1G06180,DNA binding,GO:0003677,func
AT3G46130,DNA binding,GO:0003677,func
AT1G27000,DNA binding,GO:0003677,func
AT1G42990,DNA binding,GO:0003677,func
AT2G47190,DNA binding,GO:0003677,func
AT4G36990,DNA binding,GO:0003677,func
AT3G05545,DNA binding,GO:0003677,func
AT2G18090,DNA binding,GO:0003677,func
AT3G11200,DNA binding,GO:0003677,func
AT5G62020,DNA binding,GO:0003677,func
AT2G31400,DNA binding,GO:0003677,func
AT2G36530,DNA binding,GO:0003677,func
AT5G29000,DNA binding,GO:0003677,func
AT3G04120,DNA binding,GO:0003677,func
AT5G67300,DNA binding,GO:0003677,func
AT5G58620,DNA binding,GO:0003677,func
AT5G63790,DNA binding,GO:0003677,func
AT4G39780,DNA binding,GO:0003677,func
AT2G37470,DNA binding,GO:0003677,func
AT3G43240,DNA binding,GO:0003677,func
AT3G54620,DNA binding,GO:0003677,func
AT4G14410,DNA binding,GO:0003677,func
AT5G59430,DNA binding,GO:0003677,func
AT1G06040,DNA binding,GO:0003677,func
AT1G08465,DNA binding,GO:0003677,func
AT1G19700,DNA binding,GO:0003677,func
AT1G48620,DNA binding,GO:0003677,func
AT1G51200,DNA binding,GO:0003677,func
AT2G02060,DNA binding,GO:0003677,func
AT2G33810,DNA binding,GO:0003677,func
AT2G34720,DNA binding,GO:0003677,func
AT2G46820,DNA binding,GO:0003677,func
AT2G46830,DNA binding,GO:0003677,func
AT2G47070,DNA binding,GO:0003677,func
AT3G02830,DNA binding,GO:0003677,func
AT3G09600,DNA binding,GO:0003677,func
AT3G16940,DNA binding,GO:0003677,func
AT3G51950,DNA binding,GO:0003677,func
AT4G00050,DNA binding,GO:0003677,func
AT4G02640,DNA binding,GO:0003677,func
AT5G02840,DNA binding,GO:0003677,func
AT5G62430,DNA binding,GO:0003677,func
AT1G32330,DNA binding,GO:0003677,func
AT1G08130,DNA binding,GO:0003677,func
AT5G60410,DNA binding,GO:0003677,func
AT3G11710,DNA binding,GO:0003677,func
AT1G02230,DNA binding,GO:0003677,func
AT2G03390,DNA binding,GO:0003677,func
AT2G19810,DNA binding,GO:0003677,func
AT2G22770,DNA binding,GO:0003677,func
AT2G33860,DNA binding,GO:0003677,func
AT2G36490,DNA binding,GO:0003677,func
AT2G40970,DNA binding,GO:0003677,func
AT3G14980,DNA binding,GO:0003677,func
AT4G38160,DNA binding,GO:0003677,func
AT5G13730,DNA binding,GO:0003677,func
AT3G53920,DNA binding,GO:0003677,func
AT3G57080,DNA binding,GO:0003677,func
AT5G25475,DNA binding,GO:0003677,func
AT4G31270,DNA binding,GO:0003677,func
AT5G38860,DNA binding,GO:0003677,func
AT5G14620,DNA binding,GO:0003677,func
AT1G02340,DNA binding,GO:0003677,func
AT1G06910,DNA binding,GO:0003677,func
AT1G10610,DNA binding,GO:0003677,func
AT1G62830,DNA binding,GO:0003677,func
AT1G17460,DNA binding,GO:0003677,func
AT3G16000,DNA binding,GO:0003677,func
AT1G26260,DNA binding,GO:0003677,func
AT1G33240,DNA binding,GO:0003677,func
AT1G35460,DNA binding,GO:0003677,func
AT1G49010,DNA binding,GO:0003677,func
AT1G49480,DNA binding,GO:0003677,func
AT1G52150,DNA binding,GO:0003677,func
AT1G59750,DNA binding,GO:0003677,func
AT1G64860,DNA binding,GO:0003677,func
AT1G71260,DNA binding,GO:0003677,func
AT1G72650,DNA binding,GO:0003677,func
AT1G76110,DNA binding,GO:0003677,func
AT2G01760,DNA binding,GO:0003677,func
AT2G03780,DNA binding,GO:0003677,func
AT2G18050,DNA binding,GO:0003677,func
AT2G20180,DNA binding,GO:0003677,func
AT2G24120,DNA binding,GO:0003677,func
AT2G24650,DNA binding,GO:0003677,func
AT2G27230,DNA binding,GO:0003677,func
AT2G28720,DNA binding,GO:0003677,func
AT2G31320,DNA binding,GO:0003677,func
AT5G05610,DNA binding,GO:0003677,func
AT2G45850,DNA binding,GO:0003677,func
AT5G61420,DNA binding,GO:0003677,func
AT3G01770,DNA binding,GO:0003677,func
AT4G30620,DNA binding,GO:0003677,func
AT3G59060,DNA binding,GO:0003677,func
AT4G31650,DNA binding,GO:0003677,func
AT3G60320,DNA binding,GO:0003677,func
AT3G17310,DNA binding,GO:0003677,func
AT3G52170,DNA binding,GO:0003677,func
AT4G36970,DNA binding,GO:0003677,func
AT5G43270,DNA binding,GO:0003677,func
AT5G45140,DNA binding,GO:0003677,func
AT5G64340,DNA binding,GO:0003677,func
AT5G44190,DNA binding,GO:0003677,func
AT2G31230,DNA binding,GO:0003677,func
AT1G25550,DNA binding,GO:0003677,func
AT5G46750,DNA binding,GO:0003677,func
AT3G49530,DNA binding,GO:0003677,func
AT2G41460,DNA binding,GO:0003677,func
AT4G10920,DNA binding,GO:0003677,func
AT1G74560,DNA binding,GO:0003677,func
AT3G13810,DNA binding,GO:0003677,func
AT1G14410,DNA binding,GO:0003677,func
AT1G75410,DNA binding,GO:0003677,func
AT3G13350,DNA binding,GO:0003677,func
AT4G05420,DNA binding,GO:0003677,func
AT2G36720,DNA binding,GO:0003677,func
AT3G15590,DNA binding,GO:0003677,func
AT2G25170,DNA binding,GO:0003677,func
AT1G34380,DNA binding,GO:0003677,func
AT1G79050,DNA binding,GO:0003677,func
AT3G50700,DNA binding,GO:0003677,func
AT1G50840,DNA binding,GO:0003677,func
AT3G07740,DNA binding,GO:0003677,func
AT3G07930,DNA binding,GO:0003677,func
AT1G01250,DNA binding,GO:0003677,func
AT1G10820,DNA binding,GO:0003677,func
AT1G14580,DNA binding,GO:0003677,func
AT1G49720,DNA binding,GO:0003677,func
AT2G39250,DNA binding,GO:0003677,func
AT5G16820,DNA binding,GO:0003677,func
AT2G02740,DNA binding,GO:0003677,func
AT5G43840,DNA binding,GO:0003677,func
AT2G32645,DNA binding,GO:0003677,func
AT3G47500,DNA binding,GO:0003677,func
AT2G43010,DNA binding,GO:0003677,func
AT3G04260,DNA binding,GO:0003677,func
AT3G24520,DNA binding,GO:0003677,func
AT4G36900,DNA binding,GO:0003677,func
AT5G60850,DNA binding,GO:0003677,func
AT4G25120,DNA binding,GO:0003677,func
AT1G60850,DNA binding,GO:0003677,func
AT1G68990,DNA binding,GO:0003677,func
AT3G13940,DNA binding,GO:0003677,func
AT5G04410,DNA binding,GO:0003677,func
AT1G08130,DNA biosynthetic process,GO:0071897,proc
AT4G21585,DNA catabolic process,GO:0006308,proc
AT1G08130,DNA demethylation,GO:0080111,proc
AT2G36490,DNA demethylation,GO:0080111,proc
AT4G31270,DNA demethylation,GO:0080111,proc
AT3G23700,DNA duplex unwinding,GO:0032508,proc
AT4G25120,DNA duplex unwinding,GO:0032508,proc
AT3G48750,DNA endoreduplication,GO:0042023,proc
AT2G25170,DNA helicase activity,GO:0003678,func
AT4G25120,DNA helicase activity,GO:0003678,func
AT1G08130,DNA ligase (ATP) activity,GO:0003910,func
AT1G08130,DNA ligation involved in DNA repair,GO:0051103,proc
AT1G48620,DNA mediated transformation,GO:0009294,proc
AT5G03760,DNA mediated transformation,GO:0009294,proc
AT1G43700,DNA mediated transformation,GO:0009294,proc
AT5G04110,DNA metabolic process,GO:0006259,proc
AT1G68310,DNA metabolic process,GO:0006259,proc
AT1G15215,DNA methylation,GO:0006306,proc
AT2G27040,DNA methylation,GO:0006306,proc
AT2G36490,DNA methylation,GO:0006306,proc
AT5G14620,DNA methylation,GO:0006306,proc
AT3G48670,DNA methylation,GO:0006306,proc
AT2G30280,DNA methylation,GO:0006306,proc
AT3G17310,DNA methylation,GO:0006306,proc
AT3G49250,DNA methylation,GO:0006306,proc
AT2G36490,DNA N-glycosylase activity,GO:0019104,func
AT2G47590,DNA photolyase activity,GO:0003913,func
AT4G25290,DNA photolyase activity,GO:0003913,func
AT1G08130,DNA recombination,GO:0006310,proc
AT1G79050,DNA recombination,GO:0006310,proc
AT2G26840,DNA recombination,GO:0006310,proc
AT4G25120,DNA recombination,GO:0006310,proc
AT2G47590,DNA repair,GO:0006281,proc
AT3G28730,DNA repair,GO:0006281,proc
AT4G25290,DNA repair,GO:0006281,proc
AT5G26680,DNA repair,GO:0006281,proc
AT2G24490,DNA repair,GO:0006281,proc
AT5G18070,DNA repair,GO:0006281,proc
AT3G20490,DNA repair,GO:0006281,proc
AT4G10180,DNA repair,GO:0006281,proc
AT4G31150,DNA repair,GO:0006281,proc
AT5G15170,DNA repair,GO:0006281,proc
AT2G36490,DNA repair,GO:0006281,proc
AT1G71260,DNA repair,GO:0006281,proc
AT2G31320,DNA repair,GO:0006281,proc
AT3G26680,DNA repair,GO:0006281,proc
AT2G41460,DNA repair,GO:0006281,proc
AT1G14410,DNA repair,GO:0006281,proc
AT4G05420,DNA repair,GO:0006281,proc
AT1G79050,DNA repair,GO:0006281,proc
AT3G07930,DNA repair,GO:0006281,proc
AT2G02740,DNA repair,GO:0006281,proc
AT4G25120,DNA repair,GO:0006281,proc
AT3G28730,DNA replication,GO:0006260,proc
AT5G26680,DNA replication,GO:0006260,proc
AT2G24490,DNA replication,GO:0006260,proc
AT1G08130,DNA replication,GO:0006260,proc
AT1G50840,DNA replication,GO:0006260,proc
AT4G25120,DNA rewinding,GO:0036292,proc
AT5G04110,DNA topoisomerase activity,GO:0003916,func
AT5G04110,DNA topoisomerase type II (ATP-hydrolyzing) activity,GO:0003918,func
AT5G04110,DNA topological change,GO:0006265,proc
AT2G24490,DNA topological change,GO:0006265,proc
AT2G24490,DNA unwinding involved in DNA replication,GO:0006268,proc
AT2G36490,DNA-(apurinic or apyrimidinic site) endonuclease activity,GO:0003906,func
AT2G41460,DNA-(apurinic or apyrimidinic site) endonuclease activity,GO:0003906,func
AT2G20100,"DNA-binding transcription activator activity, RNA polymerase II-specific",GO:0001228,func
AT1G35460,"DNA-binding transcription activator activity, RNA polymerase II-specific",GO:0001228,func
AT5G64980,"DNA-binding transcription activator activity, RNA polymerase II-specific",GO:0001228,func
AT1G19000,DNA-binding transcription factor activity,GO:0003700,func
AT2G17150,DNA-binding transcription factor activity,GO:0003700,func
AT2G28550,DNA-binding transcription factor activity,GO:0003700,func
AT2G33500,DNA-binding transcription factor activity,GO:0003700,func
AT2G36990,DNA-binding transcription factor activity,GO:0003700,func
AT3G22780,DNA-binding transcription factor activity,GO:0003700,func
AT4G00150,DNA-binding transcription factor activity,GO:0003700,func
AT4G04890,DNA-binding transcription factor activity,GO:0003700,func
AT5G06510,DNA-binding transcription factor activity,GO:0003700,func
AT1G45249,DNA-binding transcription factor activity,GO:0003700,func
AT2G44940,DNA-binding transcription factor activity,GO:0003700,func
AT2G46270,DNA-binding transcription factor activity,GO:0003700,func
AT3G13040,DNA-binding transcription factor activity,GO:0003700,func
AT3G19290,DNA-binding transcription factor activity,GO:0003700,func
AT3G28730,DNA-binding transcription factor activity,GO:0003700,func
AT3G61890,DNA-binding transcription factor activity,GO:0003700,func
AT4G34000,DNA-binding transcription factor activity,GO:0003700,func
AT4G39100,DNA-binding transcription factor activity,GO:0003700,func
AT5G62940,DNA-binding transcription factor activity,GO:0003700,func
AT3G19580,DNA-binding transcription factor activity,GO:0003700,func
AT5G64220,DNA-binding transcription factor activity,GO:0003700,func
AT5G47140,DNA-binding transcription factor activity,GO:0003700,func
AT2G29660,DNA-binding transcription factor activity,GO:0003700,func
AT3G50260,DNA-binding transcription factor activity,GO:0003700,func
AT1G08290,DNA-binding transcription factor activity,GO:0003700,func
AT1G52890,DNA-binding transcription factor activity,GO:0003700,func
AT2G41940,DNA-binding transcription factor activity,GO:0003700,func
AT4G34590,DNA-binding transcription factor activity,GO:0003700,func
AT5G49520,DNA-binding transcription factor activity,GO:0003700,func
AT2G43000,DNA-binding transcription factor activity,GO:0003700,func
AT5G13330,DNA-binding transcription factor activity,GO:0003700,func
AT2G24500,DNA-binding transcription factor activity,GO:0003700,func
AT4G17230,DNA-binding transcription factor activity,GO:0003700,func
AT3G14020,DNA-binding transcription factor activity,GO:0003700,func
AT3G15500,DNA-binding transcription factor activity,GO:0003700,func
AT1G06180,DNA-binding transcription factor activity,GO:0003700,func
AT3G46130,DNA-binding transcription factor activity,GO:0003700,func
AT1G42990,DNA-binding transcription factor activity,GO:0003700,func
AT1G49130,DNA-binding transcription factor activity,GO:0003700,func
AT2G47190,DNA-binding transcription factor activity,GO:0003700,func
AT4G36990,DNA-binding transcription factor activity,GO:0003700,func
AT5G04340,DNA-binding transcription factor activity,GO:0003700,func
AT5G62020,DNA-binding transcription factor activity,GO:0003700,func
AT5G29000,DNA-binding transcription factor activity,GO:0003700,func
AT2G45680,DNA-binding transcription factor activity,GO:0003700,func
AT3G10500,DNA-binding transcription factor activity,GO:0003700,func
AT5G67300,DNA-binding transcription factor activity,GO:0003700,func
AT5G58620,DNA-binding transcription factor activity,GO:0003700,func
AT5G59820,DNA-binding transcription factor activity,GO:0003700,func
AT5G66320,DNA-binding transcription factor activity,GO:0003700,func
AT5G63790,DNA-binding transcription factor activity,GO:0003700,func
AT4G39780,DNA-binding transcription factor activity,GO:0003700,func
AT3G54620,DNA-binding transcription factor activity,GO:0003700,func
AT4G14410,DNA-binding transcription factor activity,GO:0003700,func
AT5G49700,DNA-binding transcription factor activity,GO:0003700,func
AT1G04950,DNA-binding transcription factor activity,GO:0003700,func
AT1G06040,DNA-binding transcription factor activity,GO:0003700,func
AT1G08465,DNA-binding transcription factor activity,GO:0003700,func
AT1G19700,DNA-binding transcription factor activity,GO:0003700,func
AT1G75540,DNA-binding transcription factor activity,GO:0003700,func
AT2G02060,DNA-binding transcription factor activity,GO:0003700,func
AT2G21320,DNA-binding transcription factor activity,GO:0003700,func
AT2G31380,DNA-binding transcription factor activity,GO:0003700,func
AT2G33810,DNA-binding transcription factor activity,GO:0003700,func
AT2G34720,DNA-binding transcription factor activity,GO:0003700,func
AT2G46830,DNA-binding transcription factor activity,GO:0003700,func
AT2G47070,DNA-binding transcription factor activity,GO:0003700,func
AT3G04730,DNA-binding transcription factor activity,GO:0003700,func
AT3G09600,DNA-binding transcription factor activity,GO:0003700,func
AT4G00050,DNA-binding transcription factor activity,GO:0003700,func
AT4G02640,DNA-binding transcription factor activity,GO:0003700,func
AT4G17050,DNA-binding transcription factor activity,GO:0003700,func
AT4G28640,DNA-binding transcription factor activity,GO:0003700,func
AT5G02840,DNA-binding transcription factor activity,GO:0003700,func
AT5G62430,DNA-binding transcription factor activity,GO:0003700,func
AT1G32330,DNA-binding transcription factor activity,GO:0003700,func
AT1G02230,DNA-binding transcription factor activity,GO:0003700,func
AT2G19810,DNA-binding transcription factor activity,GO:0003700,func
AT2G22770,DNA-binding transcription factor activity,GO:0003700,func
AT2G33860,DNA-binding transcription factor activity,GO:0003700,func
AT2G40970,DNA-binding transcription factor activity,GO:0003700,func
AT4G21550,DNA-binding transcription factor activity,GO:0003700,func
AT5G13730,DNA-binding transcription factor activity,GO:0003700,func
AT3G53920,DNA-binding transcription factor activity,GO:0003700,func
AT4G13640,DNA-binding transcription factor activity,GO:0003700,func
AT4G14540,DNA-binding transcription factor activity,GO:0003700,func
AT4G31270,DNA-binding transcription factor activity,GO:0003700,func
AT5G38860,DNA-binding transcription factor activity,GO:0003700,func
AT1G02340,DNA-binding transcription factor activity,GO:0003700,func
AT1G04240,DNA-binding transcription factor activity,GO:0003700,func
AT1G04550,DNA-binding transcription factor activity,GO:0003700,func
AT3G04450,DNA-binding transcription factor activity,GO:0003700,func
AT1G06910,DNA-binding transcription factor activity,GO:0003700,func
AT1G10200,DNA-binding transcription factor activity,GO:0003700,func
AT1G10610,DNA-binding transcription factor activity,GO:0003700,func
AT1G17460,DNA-binding transcription factor activity,GO:0003700,func
AT1G25440,DNA-binding transcription factor activity,GO:0003700,func
AT1G26260,DNA-binding transcription factor activity,GO:0003700,func
AT1G33240,DNA-binding transcription factor activity,GO:0003700,func
AT1G35460,DNA-binding transcription factor activity,GO:0003700,func
AT1G49010,DNA-binding transcription factor activity,GO:0003700,func
AT1G49480,DNA-binding transcription factor activity,GO:0003700,func
AT1G52150,DNA-binding transcription factor activity,GO:0003700,func
AT1G59750,DNA-binding transcription factor activity,GO:0003700,func
AT1G64860,DNA-binding transcription factor activity,GO:0003700,func
AT1G68190,DNA-binding transcription factor activity,GO:0003700,func
AT1G72650,DNA-binding transcription factor activity,GO:0003700,func
AT1G73870,DNA-binding transcription factor activity,GO:0003700,func
AT1G76110,DNA-binding transcription factor activity,GO:0003700,func
AT2G01760,DNA-binding transcription factor activity,GO:0003700,func
AT2G20180,DNA-binding transcription factor activity,GO:0003700,func
AT2G22540,DNA-binding transcription factor activity,GO:0003700,func
AT2G24650,DNA-binding transcription factor activity,GO:0003700,func
AT2G25000,DNA-binding transcription factor activity,GO:0003700,func
AT2G27230,DNA-binding transcription factor activity,GO:0003700,func
AT2G30280,DNA-binding transcription factor activity,GO:0003700,func
AT5G61420,DNA-binding transcription factor activity,GO:0003700,func
AT3G59060,DNA-binding transcription factor activity,GO:0003700,func
AT4G31650,DNA-binding transcription factor activity,GO:0003700,func
AT3G23050,DNA-binding transcription factor activity,GO:0003700,func
AT5G13770,DNA-binding transcription factor activity,GO:0003700,func
AT4G17600,DNA-binding transcription factor activity,GO:0003700,func
AT4G40060,DNA-binding transcription factor activity,GO:0003700,func
AT4G02020,DNA-binding transcription factor activity,GO:0003700,func
AT5G43270,DNA-binding transcription factor activity,GO:0003700,func
AT5G64340,DNA-binding transcription factor activity,GO:0003700,func
AT5G44190,DNA-binding transcription factor activity,GO:0003700,func
AT5G57660,DNA-binding transcription factor activity,GO:0003700,func
AT2G23320,DNA-binding transcription factor activity,GO:0003700,func
AT1G43860,DNA-binding transcription factor activity,GO:0003700,func
AT2G31230,DNA-binding transcription factor activity,GO:0003700,func
AT1G25550,DNA-binding transcription factor activity,GO:0003700,func
AT3G49530,DNA-binding transcription factor activity,GO:0003700,func
AT2G37430,DNA-binding transcription factor activity,GO:0003700,func
AT1G43700,DNA-binding transcription factor activity,GO:0003700,func
AT2G03340,DNA-binding transcription factor activity,GO:0003700,func
AT3G13810,DNA-binding transcription factor activity,GO:0003700,func
AT1G75410,DNA-binding transcription factor activity,GO:0003700,func
AT3G13350,DNA-binding transcription factor activity,GO:0003700,func
AT1G50600,DNA-binding transcription factor activity,GO:0003700,func
AT2G45660,DNA-binding transcription factor activity,GO:0003700,func
AT3G45260,DNA-binding transcription factor activity,GO:0003700,func
AT3G50700,DNA-binding transcription factor activity,GO:0003700,func
AT3G07740,DNA-binding transcription factor activity,GO:0003700,func
AT1G01250,DNA-binding transcription factor activity,GO:0003700,func
AT1G14580,DNA-binding transcription factor activity,GO:0003700,func
AT1G49720,DNA-binding transcription factor activity,GO:0003700,func
AT2G39250,DNA-binding transcription factor activity,GO:0003700,func
AT5G16820,DNA-binding transcription factor activity,GO:0003700,func
AT5G43840,DNA-binding transcription factor activity,GO:0003700,func
AT3G47500,DNA-binding transcription factor activity,GO:0003700,func
AT2G43010,DNA-binding transcription factor activity,GO:0003700,func
AT3G24520,DNA-binding transcription factor activity,GO:0003700,func
AT5G47640,DNA-binding transcription factor activity,GO:0003700,func
AT4G36900,DNA-binding transcription factor activity,GO:0003700,func
AT2G04890,DNA-binding transcription factor activity,GO:0003700,func
AT5G60850,DNA-binding transcription factor activity,GO:0003700,func
AT2G18750,DNA-binding transcription factor activity,GO:0003700,func
AT5G04410,DNA-binding transcription factor activity,GO:0003700,func
AT4G12750,"DNA-binding transcription factor activity, RNA polymerase II-specific",GO:0000981,func
AT2G32080,"DNA-binding transcription repressor activity, RNA polymerase II-specific",GO:0001227,func
AT5G62430,"DNA-binding transcription repressor activity, RNA polymerase II-specific",GO:0001227,func
AT3G61420,DNA-dependent ATPase activity,GO:0008094,func
AT5G54090,DNA-dependent ATPase activity,GO:0008094,func
AT1G65070,DNA-dependent ATPase activity,GO:0008094,func
AT1G79050,DNA-dependent ATPase activity,GO:0008094,func
AT1G34380,DNA-dependent DNA replication,GO:0006261,proc
AT1G50840,DNA-dependent DNA replication,GO:0006261,proc
