Sort,Gene,HotSpotNearestGene,GeneID,Identification_Col0,BetweennessCentrality_Col0,Degree_Col0,Identification_coi1,BetweennessCentrality_coi1,Degree_coi1,Identification_npr1,BetweennessCentrality_npr1,Degree_npr1,Description_npr1,GO,a.Transc
33,Bcin03g01320,Bcin12g00330,Bcin03g01320.1,Vesicle/virulence Net,0.00712,33,Vesicle/virulence and Translate/growth Net,0.0218,6,Unknown Net,0,3,hypothetical protein BC1G_02051,no GO terms,2
20,Bcin02g03660,Bcin12g00330,Bcin02g03660.1,Vesicle/virulence Net,0.000268,16,NA,NA,NA,Vesicle/virulence Net,0.1,4,hypothetical protein BC1G_02051,no GO terms,1
54,Bcin05g00680,Bcin12g00330,Bcin05g00680.1,Vesicle/virulence Net,0.00192,17,NA,NA,NA,Vesicle/virulence Net,0,1,domain containing,C:cytoplasm; F:ATP-dependent NAD(P)H-hydrate dehydratase activity; P:nicotinamide nucleotide metabolic process; F:ADP-dependent NAD(P)H-hydrate dehydratase activity,1
69,Bcin06g04320,Bcin12g00330,Bcin06g04320.2,Vesicle/virulence Net,0,2,NA,NA,NA,Vesicle/virulence Net,0,1,,"F:phosphorelay sensor kinase activity; F:protein binding; P:signal transduction; P:phosphorelay signal transduction system; F:transferase activity, transferring phosphorus-containing groups; P:phosphorylation",1
73,Bcin06g04320,Bcin12g00330,Bcin06g04320.2,Vesicle/virulence Net,0,2,NA,NA,NA,Vesicle/virulence Net,0,1,hypothetical protein BofuT4_P140360.1,C:integral component of membrane; C:plasma membrane,2
77,Bcin06g04320,Bcin12g00330,Bcin06g04320.2,Vesicle/virulence Net,0,2,NA,NA,NA,Vesicle/virulence Net,0,1,hypothetical protein BofuT4_P140360.1,C:integral component of membrane; C:plasma membrane,2
149,Bcin16g00060,Bcin12g00330,Bcin16g00060.1,NA,NA,NA,Vesicle/virulence and Translate/growth Net,0,1,Vesicle/virulence Net,0,1,hypothetical protein BofuT4_P140360.1,C:integral component of membrane; C:plasma membrane,2
1,Bcin01g00420,Bcin12g00330,Bcin01g00420.1,Vesicle/virulence Net,0.0071,37,Vesicle/virulence and Translate/growth Net,0.0271,16,Vesicle/virulence Net,0,2,plasma membrane stress response (Ist2) [Botrytis cinerea T4],C:membrane; C:integral component of membrane,1
38,Bcin03g04690,Bcin12g00330,Bcin03g04690.1,Vesicle/virulence Net,0.0252,69,Vesicle/virulence and Translate/growth Net,0.00995,6,Vesicle/virulence Net,0.505,3,"BcPIO4, hypothetical protein BC1G_00743",no GO terms,1
39,Bcin03g05480,Bcin12g00330,Bcin03g05480.1,Vesicle/virulence Net,0.0376,67,Vesicle/virulence and Translate/growth Net,0.144,30,Vesicle/virulence Net,0.196,6,hypothetical protein BcDW1_580,no GO terms,1
45,Bcin04g01640,Bcin12g00330,Bcin04g01640.1,Vesicle/virulence Net,0.0104,21,Vesicle/virulence and Translate/growth Net,0.000109,6,Vesicle/virulence Net,0.139,4,carbohydrate-binding module family 48,no GO terms,1
52,Bcin04g06730,Bcin12g00330,Bcin04g06730.1,Vesicle/virulence Net,0.0118,16,Vesicle/virulence and Translate/growth Net,0.00163,5,Vesicle/virulence Net,0,1,[Botrytis cinerea ],no GO terms,1
56,Bcin05g00840,Bcin12g00330,Bcin05g00840.1,Vesicle/virulence Net,0.0253,58,Vesicle/virulence and Translate/growth Net,0,1,Vesicle/virulence Net,0,1,"Bcvps13, Vacuolar protein sorting-associated protein 13, fungi	","Autophagy-related, C-terminal, the delivery of proteins to the vacuole in vegetatively growing yeast",1
57,Bcin05g01380,Bcin12g00330,Bcin05g01380.1,Vesicle/virulence Net,0.107,66,Vesicle/virulence and Translate/growth Net,8.88E-06,3,Vesicle/virulence Net,0.0886,5,NADH-cytochrome b5 reductase [Botrytis cinerea ],"C:integral component of mitochondrial outer membrane; F:cytochrome-b5 reductase activity, acting on NAD(P)H; C:mitochondrial intermembrane space; P:ergosterol biosynthetic process; P:cellular response to oxidative stress; P:oxidation-reduction process",1
70,Bcin06g04320,Bcin12g00330,Bcin06g04320.1,Vesicle/virulence Net,0.00173,5,Vesicle/virulence and Translate/growth Net,0,2,Vesicle/virulence Net,0,1,actin cortical patch [Botrytis cinerea 1],C:integral component of membrane; C:plasma membrane,1
72,Bcin06g04320,Bcin12g00330,Bcin06g04320.4,Vesicle/virulence Net,0.00705,9,Vesicle/virulence and Translate/growth Net,0,2,Vesicle/virulence Net,1,2,actin cortical patch [Botrytis cinerea 1],C:integral component of membrane; C:plasma membrane,4
74,Bcin06g04320,Bcin12g00330,Bcin06g04320.1,Vesicle/virulence Net,0.00173,5,Vesicle/virulence and Translate/growth Net,0,2,Vesicle/virulence Net,0,1,actin cortical patch [Botrytis cinerea 1],C:integral component of membrane; C:plasma membrane,1
76,Bcin06g04320,Bcin12g00330,Bcin06g04320.4,Vesicle/virulence Net,0.00705,9,Vesicle/virulence and Translate/growth Net,0,2,Vesicle/virulence Net,1,2,actin cortical patch [Botrytis cinerea 1],C:integral component of membrane; C:plasma membrane,4
78,Bcin06g04320,Bcin12g00330,Bcin06g04320.1,Vesicle/virulence Net,0.00173,5,Vesicle/virulence and Translate/growth Net,0,2,Vesicle/virulence Net,0,1,actin cortical patch [Botrytis cinerea 1],C:integral component of membrane; C:plasma membrane,1
80,Bcin06g04320,Bcin12g00330,Bcin06g04320.4,Vesicle/virulence Net,0.00705,9,Vesicle/virulence and Translate/growth Net,0,2,Vesicle/virulence Net,1,2,actin cortical patch [Botrytis cinerea 1],C:integral component of membrane; C:plasma membrane,4
85,Bcin08g00270,Bcin12g00330,Bcin08g00270.1,Vesicle/virulence Net,0.00289,20,Vesicle/virulence and Translate/growth Net,0,1,Vesicle/virulence Net,0,1,sugar transporter [Botrytis cinerea T4],F:substrate-specific transmembrane transporter activity; P:transmembrane transport; F:transmembrane transporter activity; C:membrane; C:integral component of membrane; F:transporter activity,1
103,Bcin09g05020,Bcin12g00330,Bcin09g05020.1,Vesicle/virulence Net,0.0156,45,Vesicle/virulence and Translate/growth Net,0.0139,13,Vesicle/virulence Net,1,2,"Bcgad1, glutamate decarboxylase [Botrytis cinerea 1]",F:pyridoxal phosphate binding; P:glutamate metabolic process; F:catalytic activity; F:glutamate decarboxylase activity; P:carboxylic acid metabolic process; F:carboxy-lyase activity,1
110,Bcin11g01560,Bcin12g00330,Bcin11g01560.1,Vesicle/virulence Net,1.51E-05,5,Vesicle/virulence and Translate/growth Net,0,2,Vesicle/virulence Net,0,1,Auxin Efflux Carrier superfamily,P:transmembrane transport; C:integral component of membrane,1
112,Bcin11g02730,Bcin12g00330,Bcin11g02730.1,Vesicle/virulence Net,0.253,117,Vesicle/virulence and Translate/growth Net,0.433,19,Vesicle/virulence Net,0,1,"BcPIO5, CDP-alcohol phosphatidyltransferase [Botrytis cinerea ]","HAD-superfamily hydrolase, subfamily IIA, CECR5",1
114,Bcin11g04930,Bcin12g00330,Bcin11g04930.1,Vesicle/virulence Net,0.0297,69,Vesicle/virulence and Translate/growth Net,0,1,Vesicle/virulence Net,0.501,2,msc1 [Botrytis cinerea 1],Putative stress-responsive protein,1
119,Bcin12g03000,Bcin12g00330,Bcin12g03000.1,Vesicle/virulence Net,5.66E-05,10,Vesicle/virulence and Translate/growth Net,0.016,11,Vesicle/virulence Net,0.227,6,iq calmodulin-binding motif,F:catalytic activity,1
123,Bcin12g05030,Bcin12g00330,Bcin12g05030.1,Vesicle/virulence Net,0.00273,18,Vesicle/virulence and Translate/growth Net,0,1,Vesicle/virulence Net,0.0886,5,7 [Botrytis cinerea T4],no GO terms,1
124,Bcin13g01020,Bcin12g00330,Bcin13g01020.1,Vesicle/virulence Net,0.00309,36,Vesicle/virulence and Translate/growth Net,0,2,Vesicle/virulence Net,0.353,5,predicted protein,no GO terms,1
129,Bcin13g05780,Bcin12g00330,Bcin13g05780.1,Vesicle/virulence Net,7.76E-05,9,Vesicle/virulence and Translate/growth Net,0.00325,8,Vesicle/virulence Net,0.0364,3,hypothetical protein BofuT4P59000002001 [Botrytis cinerea T4],no GO terms,1
130,Bcin14g03030,Bcin12g00330,Bcin14g03030.1,Vesicle/virulence Net,0.00908,48,Vesicle/virulence and Translate/growth Net,0.0178,3,Vesicle/virulence Net,0.0313,4,hypothetical protein BC1G_10056,no GO terms,1
132,Bcin14g04530,Bcin12g00330,Bcin14g04530.1,Vesicle/virulence Net,0,1,Vesicle/virulence and Translate/growth Net,0,1,Vesicle/virulence Net,0,1,"2,3-diketo-5-methylthio-1-phosphopentane phosphatase",F:phosphatase activity; P:dephosphorylation,1
133,Bcin14g05350,Bcin12g00330,Bcin14g05350.1,Vesicle/virulence Net,0.04,64,Vesicle/virulence and Translate/growth Net,0.0676,23,Vesicle/virulence Net,0,1,meiotically up-regulated,C:integral component of membrane,1
137,Bcin15g03580,Bcin12g00330,Bcin15g03580.3,Vesicle/virulence Net,0.0103,39,Vesicle/virulence and Translate/growth Net,0.028,15,Vesicle/virulence Net,0.0018,4,stress-activated mitogen-activated kinase [Botrytis cinerea],F:ATP binding; F:MAP kinase activity; F:protein kinase activity; P:protein phosphorylation,3
138,Bcin15g03580,Bcin12g00330,Bcin15g03580.2,Vesicle/virulence Net,0.0281,61,Vesicle/virulence and Translate/growth Net,0.0116,10,Vesicle/virulence Net,0.422,6,stress-activated mitogen-activated kinase [Botrytis cinerea],C:nucleus; C:cytoplasm; F:ion binding; P:cellular protein modification process; P:cellular nitrogen compound metabolic process; P:biosynthetic process; F:signal transducer activity; F:kinase activity,2
139,Bcin15g03580,Bcin12g00330,Bcin15g03580.1,Vesicle/virulence Net,0.000627,19,Vesicle/virulence and Translate/growth Net,0.00384,14,Vesicle/virulence Net,0,3,stress-activated mitogen-activated kinase [Botrytis cinerea],C:nucleus; C:cytoplasm; F:ion binding; P:cellular protein modification process; P:cellular nitrogen compound metabolic process; P:biosynthetic process; F:signal transducer activity; F:kinase activity,1
147,Bcin15g04970,Bcin12g00330,Bcin15g04970.1,Vesicle/virulence Net,0.0061,13,Vesicle/virulence and Translate/growth Net,0.015,7,Vesicle/virulence Net,0,2,glucose-6-phosphate isomerase,F:glucose-6-phosphate isomerase activity; P:gluconeogenesis; P:glycolytic process,1
150,Bcin16g01090,Bcin12g00330,Bcin16g01090.1,Vesicle/virulence Net,0.00836,12,Vesicle/virulence and Translate/growth Net,0.00595,3,Vesicle/virulence Net,0,1,---NA---,no GO terms,1
151,Bcin16g01270,Bcin12g00330,Bcin16g01270.1,Vesicle/virulence Net,0.0234,38,Vesicle/virulence and Translate/growth Net,0.0141,7,Vesicle/virulence Net,0.0364,3,hypothetical protein BC1G_10423 [Botrytis cinerea B05.10],no GO terms,1
153,Bcin16g03380,Bcin12g00330,Bcin16g03380.1,Vesicle/virulence Net,0.0406,77,Vesicle/virulence and Translate/growth Net,0.0294,2,Vesicle/virulence Net,0.0343,4,mannitol dehydrogenase [Botrytis cinerea],no GO terms,1
